Dialogue ID,Turn,Teacher,Student,Correct,Prob,KC Probs,Dialogue Acc.,KCs,Notes
0,1,Hi! How can I help?,this question. hello are you there. hello. sophie,na,--,--,0.6667,None,
0,2,"Hi! I am :). I'll just have a read of your question, bare with me :)",:),na,--,--,0.6667,None,
0,3,Ok!,lets go,na,--,--,0.6667,None,
0,4,Have you tried simplifying 9/15?,yes. 3/5,true,--,--,0.6667,"1) Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.
Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.",
0,5,Excellent! Good work!!!! Now how would you get that to a denominator of 10?,what do you mean. 3/5,False,0.5215,0.5215,0.6667,"1) Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.
Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.",
0,6,so in 3/5 you have 5 as the denominator,oh,na,--,--,0.6667,None,
0,7,this question needs 10,oh you times the numerator and denominator by 2,true,0.5181,0.5181,0.6667,"1) Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.
Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.",
0,8,Exactly!!!!! 🔥. So what do you think it will become?,c,true,0.8081,0.8081,0.6667,"1) Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.
Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.",
0,9,"Well done Kiran 🧠🧠🧠. Great work, go pop your answer in!",,na,--,--,0.6667,None,
,,,,,,,,,
1,0,--,hello,na,--,--,0.5714,None,
1,1,"Hi Zara, would you like some help with this question?",how are you,na,--,--,0.5714,None,
1,2,"I'm good thanks, how are you?",im stuck on this question,na,--,--,0.5714,None,
1,3,"Ok, let's have a look together.",okay,na,--,--,0.5714,None,
1,4,"So, we're thinking about place value in this question.  10,000 is ten thousand.  And 20 is twenty or two tens.",yes,na,--,--,0.5714,None,
